국적,목적,연도,월,분기,계절,입국자수
베트남,상용,2005,4,2,여름,1651
베트남,공용,2005,4,2,여름,1114
베트남,기타,2005,4,2,여름,1119
태국,관광,2005,4,2,여름,2292
태국,상용,2005,4,2,여름,1631
태국,공용,2005,4,2,여름,1159
태국,기타,2005,4,2,여름,1076
중국,관광,2005,5,2,여름,6079
중국,상용,2005,5,2,여름,4506
중국,공용,2005,5,2,여름,2913
중국,기타,2005,5,2,여름,3083
일본,관광,2005,5,2,여름,3970
일본,상용,2005,5,2,여름,3037
일본,공용,2005,5,2,여름,2063
일본,기타,2005,5,2,여름,2018
미국,관광,2005,5,2,여름,2938
미국,상용,2005,5,2,여름,2264
미국,공용,2005,5,2,여름,1442
미국,기타,2005,5,2,여름,1505
베트남,관광,2005,5,2,여름,2020
베트남,상용,2005,5,2,여름,1524
베트남,공용,2005,5,2,여름,984
베트남,기타,2005,5,2,여름,1014
태국,관광,2005,5,2,여름,2020
태국,상용,2005,5,2,여름,1439
태국,공용,2005,5,2,여름,977
태국,기타,2005,5,2,여름,1046
중국,관광,2005,6,2,여름,5770
중국,상용,2005,6,2,여름,4289
중국,공용,2005,6,2,여름,2798
중국,기타,2005,6,2,여름,2815
일본,관광,2005,6,2,여름,3826
일본,상용,2005,6,2,여름,2939
일본,공용,2005,6,2,여름,1891
일본,기타,2005,6,2,여름,1873
미국,관광,2005,6,2,여름,2913
미국,상용,2005,6,2,여름,2087
미국,공용,2005,6,2,여름,1499
미국,기타,2005,6,2,여름,1432
베트남,관광,2005,6,2,여름,1846
베트남,상용,2005,6,2,여름,1476
베트남,공용,2005,6,2,여름,968
베트남,기타,2005,6,2,여름,937
태국,관광,2005,6,2,여름,1943
태국,상용,2005,6,2,여름,1473
태국,공용,2005,6,2,여름,951
태국,기타,2005,6,2,여름,979
중국,관광,2005,7,3,가을,6046
중국,상용,2005,7,3,가을,4596
중국,공용,2005,7,3,가을,2980
중국,기타,2005,7,3,가을,3012
일본,관광,2005,7,3,가을,3994
일본,상용,2005,7,3,가을,2965
일본,공용,2005,7,3,가을,1861
일본,기타,2005,7,3,가을,2047
미국,관광,2005,7,3,가을,2928
미국,상용,2005,7,3,가을,2289
미국,공용,2005,7,3,가을,1514
미국,기타,2005,7,3,가을,1414
베트남,관광,2005,7,3,가을,2005
베트남,상용,2005,7,3,가을,1502
베트남,공용,2005,7,3,가을,1029
베트남,기타,2005,7,3,가을,994
태국,관광,2005,7,3,가을,2050
태국,상용,2005,7,3,가을,1490
태국,공용,2005,7,3,가을,964
태국,기타,2005,7,3,가을,1004
중국,관광,2005,8,3,가을,6939
중국,상용,2005,8,3,가을,5186
중국,공용,2005,8,3,가을,3437
중국,기타,2005,8,3,가을,3425
일본,관광,2005,8,3,가을,4438
일본,상용,2005,8,3,가을,3521
일본,공용,2005,8,3,가을,2296
일본,기타,2005,8,3,가을,2299
미국,관광,2005,8,3,가을,3387
미국,상용,2005,8,3,가을,2573
미국,공용,2005,8,3,가을,1741
미국,기타,2005,8,3,가을,1710
베트남,관광,2005,8,3,가을,2300
베트남,상용,2005,8,3,가을,1744
베트남,공용,2005,8,3,가을,1087
베트남,기타,2005,8,3,가을,1219
태국,관광,2005,8,3,가을,2285
태국,상용,2005,8,3,가을,1720
태국,공용,2005,8,3,가을,1220
태국,기타,2005,8,3,가을,1117
중국,관광,2005,9,3,가을,6180
중국,상용,2005,9,3,가을,4617
중국,공용,2005,9,3,가을,3047
중국,기타,2005,9,3,가을,3215
일본,관광,2005,9,3,가을,4265
일본,상용,2005,9,3,가을,3073
일본,공용,2005,9,3,가을,2117
일본,기타,2005,9,3,가을,2132
미국,관광,2005,9,3,가을,3113
미국,상용,2005,9,3,가을,2400
미국,공용,2005,9,3,가을,1560
미국,기타,2005,9,3,가을,1557
베트남,관광,2005,9,3,가을,2156
베트남,상용,2005,9,3,가을,1605
베트남,공용,2005,9,3,가을,1002
베트남,기타,2005,9,3,가을,1050
태국,관광,2005,9,3,가을,2076
태국,상용,2005,9,3,가을,1562
태국,공용,2005,9,3,가을,1101
태국,기타,2005,9,3,가을,1033
중국,관광,2005,10,4,겨울,7394
중국,상용,2005,10,4,겨울,5428
중국,공용,2005,10,4,겨울,3563
중국,기타,2005,10,4,겨울,3630
일본,관광,2005,10,4,겨울,4863
일본,상용,2005,10,4,겨울,3504
일본,공용,2005,10,4,겨울,2298
일본,기타,2005,10,4,겨울,2392
미국,관광,2005,10,4,겨울,3574
미국,상용,2005,10,4,겨울,2637
미국,공용,2005,10,4,겨울,1814
미국,기타,2005,10,4,겨울,1729
베트남,관광,2005,10,4,겨울,2311
베트남,상용,2005,10,4,겨울,1826
베트남,공용,2005,10,4,겨울,1187
베트남,기타,2005,10,4,겨울,1188
태국,관광,2005,10,4,겨울,2442
태국,상용,2005,10,4,겨울,1791
태국,공용,2005,10,4,겨울,1151
태국,기타,2005,10,4,겨울,1127
중국,관광,2005,11,4,겨울,5893
중국,상용,2005,11,4,겨울,4550
중국,공용,2005,11,4,겨울,3148
중국,기타,2005,11,4,겨울,2965
일본,관광,2005,11,4,겨울,3886
일본,상용,2005,11,4,겨울,3020
일본,공용,2005,11,4,겨울,1994
일본,기타,2005,11,4,겨울,2011
미국,관광,2005,11,4,겨울,2868
미국,상용,2005,11,4,겨울,2244
미국,공용,2005,11,4,겨울,1474
미국,기타,2005,11,4,겨울,1496
베트남,관광,2005,11,4,겨울,2011
베트남,상용,2005,11,4,겨울,1523
베트남,공용,2005,11,4,겨울,982
베트남,기타,2005,11,4,겨울,1017
태국,관광,2005,11,4,겨울,2072
태국,상용,2005,11,4,겨울,1587
태국,공용,2005,11,4,겨울,1010
태국,기타,2005,11,4,겨울,1060
중국,관광,2005,12,4,겨울,6109
중국,상용,2005,12,4,겨울,4701
중국,공용,2005,12,4,겨울,3165
중국,기타,2005,12,4,겨울,3213
일본,관광,2005,12,4,겨울,4184
일본,상용,2005,12,4,겨울,3216
일본,공용,2005,12,4,겨울,2094
일본,기타,2005,12,4,겨울,2209
미국,관광,2005,12,4,겨울,3103
미국,상용,2005,12,4,겨울,2379
미국,공용,2005,12,4,겨울,1519
미국,기타,2005,12,4,겨울,1577
베트남,관광,2005,12,4,겨울,2103
베트남,상용,2005,12,4,겨울,1581
베트남,공용,2005,12,4,겨울,1093
베트남,기타,2005,12,4,겨울,1009
태국,관광,2005,12,4,겨울,2136
태국,상용,2005,12,4,겨울,1599
태국,공용,2005,12,4,겨울,1009
태국,기타,2005,12,4,겨울,1036
중국,관광,2006,1,1,봄,5018
중국,상용,2006,1,1,봄,3875
중국,공용,2006,1,1,봄,2522
중국,기타,2006,1,1,봄,2505
일본,관광,2006,1,1,봄,3291
일본,상용,2006,1,1,봄,2519
일본,공용,2006,1,1,봄,1675
일본,기타,2006,1,1,봄,1679
미국,관광,2006,1,1,봄,2539
미국,상용,2006,1,1,봄,1813
미국,공용,2006,1,1,봄,1213
미국,기타,2006,1,1,봄,1216
베트남,관광,2006,1,1,봄,1638
베트남,상용,2006,1,1,봄,1313
베트남,공용,2006,1,1,봄,854
베트남,기타,2006,1,1,봄,811
태국,관광,2006,1,1,봄,1635
태국,상용,2006,1,1,봄,1223
태국,공용,2006,1,1,봄,801
태국,기타,2006,1,1,봄,813
중국,관광,2006,2,1,봄,5356
중국,상용,2006,2,1,봄,4040
중국,공용,2006,2,1,봄,2746
중국,기타,2006,2,1,봄,2573
일본,관광,2006,2,1,봄,3628
일본,상용,2006,2,1,봄,2625
일본,공용,2006,2,1,봄,1769
일본,기타,2006,2,1,봄,1799
미국,관광,2006,2,1,봄,2672
미국,상용,2006,2,1,봄,1885
미국,공용,2006,2,1,봄,1362
미국,기타,2006,2,1,봄,1340
베트남,관광,2006,2,1,봄,1723
베트남,상용,2006,2,1,봄,1342
베트남,공용,2006,2,1,봄,872
베트남,기타,2006,2,1,봄,865
태국,관광,2006,2,1,봄,1727
태국,상용,2006,2,1,봄,1348
태국,공용,2006,2,1,봄,920
태국,기타,2006,2,1,봄,843
중국,관광,2006,3,1,봄,6635
중국,상용,2006,3,1,봄,4948
중국,공용,2006,3,1,봄,3270
중국,기타,2006,3,1,봄,3332
일본,관광,2006,3,1,봄,4430
일본,상용,2006,3,1,봄,3221
일본,공용,2006,3,1,봄,2168
일본,기타,2006,3,1,봄,2158
미국,관광,2006,3,1,봄,3246
미국,상용,2006,3,1,봄,2395
미국,공용,2006,3,1,봄,1643
미국,기타,2006,3,1,봄,1596
베트남,관광,2006,3,1,봄,2253
베트남,상용,2006,3,1,봄,1610
베트남,공용,2006,3,1,봄,1164
베트남,기타,2006,3,1,봄,1109
태국,관광,2006,3,1,봄,2244
태국,상용,2006,3,1,봄,1633
태국,공용,2006,3,1,봄,1103
태국,기타,2006,3,1,봄,1056
중국,관광,2006,4,2,여름,6878
중국,상용,2006,4,2,여름,5114
중국,공용,2006,4,2,여름,3470
중국,기타,2006,4,2,여름,3437
일본,관광,2006,4,2,여름,4585
일본,상용,2006,4,2,여름,3421
일본,공용,2006,4,2,여름,2348
일본,기타,2006,4,2,여름,2306
미국,관광,2006,4,2,여름,3439
미국,상용,2006,4,2,여름,2531
미국,공용,2006,4,2,여름,1816
미국,기타,2006,4,2,여름,1653
베트남,관광,2006,4,2,여름,2320
베트남,상용,2006,4,2,여름,1681
베트남,공용,2006,4,2,여름,1123
베트남,기타,2006,4,2,여름,1117
태국,관광,2006,4,2,여름,2333
태국,상용,2006,4,2,여름,1715
태국,공용,2006,4,2,여름,1144
태국,기타,2006,4,2,여름,1149
중국,관광,2006,5,2,여름,6292
중국,상용,2006,5,2,여름,4777
중국,공용,2006,5,2,여름,3104
중국,기타,2006,5,2,여름,3131
일본,관광,2006,5,2,여름,4302
일본,상용,2006,5,2,여름,3072
일본,공용,2006,5,2,여름,2117
일본,기타,2006,5,2,여름,2043
미국,관광,2006,5,2,여름,3169
미국,상용,2006,5,2,여름,2434
미국,공용,2006,5,2,여름,1528
미국,기타,2006,5,2,여름,1544
베트남,관광,2006,5,2,여름,2137
베트남,상용,2006,5,2,여름,1557
베트남,공용,2006,5,2,여름,1004
베트남,기타,2006,5,2,여름,1007
태국,관광,2006,5,2,여름,2143
태국,상용,2006,5,2,여름,1542
태국,공용,2006,5,2,여름,1071
태국,기타,2006,5,2,여름,1069
중국,관광,2006,6,2,여름,5927
중국,상용,2006,6,2,여름,4420
중국,공용,2006,6,2,여름,3005
중국,기타,2006,6,2,여름,2987
일본,관광,2006,6,2,여름,3916
일본,상용,2006,6,2,여름,2993
일본,공용,2006,6,2,여름,2079
일본,기타,2006,6,2,여름,2021
미국,관광,2006,6,2,여름,3026
미국,상용,2006,6,2,여름,2255
미국,공용,2006,6,2,여름,1488
미국,기타,2006,6,2,여름,1491
베트남,관광,2006,6,2,여름,1935
베트남,상용,2006,6,2,여름,1546
베트남,공용,2006,6,2,여름,1006
베트남,기타,2006,6,2,여름,930
태국,관광,2006,6,2,여름,2038
태국,상용,2006,6,2,여름,1477
태국,공용,2006,6,2,여름,1001
태국,기타,2006,6,2,여름,983
중국,관광,2006,7,3,가을,6357
중국,상용,2006,7,3,가을,4666
중국,공용,2006,7,3,가을,3081
중국,기타,2006,7,3,가을,3150
일본,관광,2006,7,3,가을,4308
일본,상용,2006,7,3,가을,3163
일본,공용,2006,7,3,가을,2045
일본,기타,2006,7,3,가을,2100
미국,관광,2006,7,3,가을,3043
미국,상용,2006,7,3,가을,2318
미국,공용,2006,7,3,가을,1538
미국,기타,2006,7,3,가을,1582
베트남,관광,2006,7,3,가을,2139
베트남,상용,2006,7,3,가을,1578
베트남,공용,2006,7,3,가을,1041
베트남,기타,2006,7,3,가을,1012
태국,관광,2006,7,3,가을,2083
태국,상용,2006,7,3,가을,1592
태국,공용,2006,7,3,가을,1071
태국,기타,2006,7,3,가을,1023
중국,관광,2006,8,3,가을,7326
중국,상용,2006,8,3,가을,5466
중국,공용,2006,8,3,가을,3531
중국,기타,2006,8,3,가을,3662
일본,관광,2006,8,3,가을,4905
일본,상용,2006,8,3,가을,3652
일본,공용,2006,8,3,가을,2385
일본,기타,2006,8,3,가을,2370
미국,관광,2006,8,3,가을,3560
미국,상용,2006,8,3,가을,2705
미국,공용,2006,8,3,가을,1855
미국,기타,2006,8,3,가을,1780
베트남,관광,2006,8,3,가을,2428
베트남,상용,2006,8,3,가을,1826
베트남,공용,2006,8,3,가을,1213
베트남,기타,2006,8,3,가을,1186
태국,관광,2006,8,3,가을,2455
태국,상용,2006,8,3,가을,1866
태국,공용,2006,8,3,가을,1259
태국,기타,2006,8,3,가을,1200
중국,관광,2006,9,3,가을,6558
중국,상용,2006,9,3,가을,4988
중국,공용,2006,9,3,가을,3236
중국,기타,2006,9,3,가을,3246
일본,관광,2006,9,3,가을,4318
일본,상용,2006,9,3,가을,3268
일본,공용,2006,9,3,가을,2226
일본,기타,2006,9,3,가을,2161
미국,관광,2006,9,3,가을,3235
미국,상용,2006,9,3,가을,2546
미국,공용,2006,9,3,가을,1665
미국,기타,2006,9,3,가을,1611
베트남,관광,2006,9,3,가을,2194
베트남,상용,2006,9,3,가을,1656
베트남,공용,2006,9,3,가을,1066
베트남,기타,2006,9,3,가을,1046
태국,관광,2006,9,3,가을,2168
태국,상용,2006,9,3,가을,1628
태국,공용,2006,9,3,가을,1124
태국,기타,2006,9,3,가을,1109
중국,관광,2006,10,4,겨울,7601
중국,상용,2006,10,4,겨울,5723
중국,공용,2006,10,4,겨울,3797
중국,기타,2006,10,4,겨울,3779
일본,관광,2006,10,4,겨울,5006
일본,상용,2006,10,4,겨울,3690
일본,공용,2006,10,4,겨울,2554
일본,기타,2006,10,4,겨울,2548
미국,관광,2006,10,4,겨울,3732
미국,상용,2006,10,4,겨울,2885
미국,공용,2006,10,4,겨울,1860
미국,기타,2006,10,4,겨울,1872
베트남,관광,2006,10,4,겨울,2605
베트남,상용,2006,10,4,겨울,1989
베트남,공용,2006,10,4,겨울,1224
베트남,기타,2006,10,4,겨울,1307
태국,관광,2006,10,4,겨울,2569
태국,상용,2006,10,4,겨울,1915
태국,공용,2006,10,4,겨울,1233
태국,기타,2006,10,4,겨울,1335
중국,관광,2006,11,4,겨울,6348
중국,상용,2006,11,4,겨울,4654
중국,공용,2006,11,4,겨울,3244
중국,기타,2006,11,4,겨울,3183
일본,관광,2006,11,4,겨울,4315
일본,상용,2006,11,4,겨울,3269
일본,공용,2006,11,4,겨울,2157
일본,기타,2006,11,4,겨울,2076
미국,관광,2006,11,4,겨울,3103
미국,상용,2006,11,4,겨울,2277
미국,공용,2006,11,4,겨울,1556
미국,기타,2006,11,4,겨울,1498
베트남,관광,2006,11,4,겨울,2105
베트남,상용,2006,11,4,겨울,1554
베트남,공용,2006,11,4,겨울,1095
베트남,기타,2006,11,4,겨울,1023
태국,관광,2006,11,4,겨울,2159
태국,상용,2006,11,4,겨울,1628
태국,공용,2006,11,4,겨울,1115
태국,기타,2006,11,4,겨울,1077
중국,관광,2006,12,4,겨울,6610
중국,상용,2006,12,4,겨울,5019
중국,공용,2006,12,4,겨울,3295
중국,기타,2006,12,4,겨울,3261
일본,관광,2006,12,4,겨울,4382
일본,상용,2006,12,4,겨울,3273
일본,공용,2006,12,4,겨울,2087
일본,기타,2006,12,4,겨울,2189
미국,관광,2006,12,4,겨울,3359
미국,상용,2006,12,4,겨울,2469
미국,공용,2006,12,4,겨울,1740
미국,기타,2006,12,4,겨울,1667
베트남,관광,2006,12,4,겨울,2303
베트남,상용,2006,12,4,겨울,1666
베트남,공용,2006,12,4,겨울,1075
베트남,기타,2006,12,4,겨울,1073
태국,관광,2006,12,4,겨울,2246
태국,상용,2006,12,4,겨울,1710
태국,공용,2006,12,4,겨울,1093
태국,기타,2006,12,4,겨울,1122
중국,관광,2007,1,1,봄,5354
중국,상용,2007,1,1,봄,3906
중국,공용,2007,1,1,봄,2654
중국,기타,2007,1,1,봄,2558
일본,관광,2007,1,1,봄,3478
일본,상용,2007,1,1,봄,2713
일본,공용,2007,1,1,봄,1812
일본,기타,2007,1,1,봄,1779
미국,관광,2007,1,1,봄,2556
미국,상용,2007,1,1,봄,1964
미국,공용,2007,1,1,봄,1344
미국,기타,2007,1,1,봄,1258
베트남,관광,2007,1,1,봄,1783
베트남,상용,2007,1,1,봄,1363
베트남,공용,2007,1,1,봄,878
베트남,기타,2007,1,1,봄,911
태국,관광,2007,1,1,봄,1782
태국,상용,2007,1,1,봄,1294
태국,공용,2007,1,1,봄,908
태국,기타,2007,1,1,봄,915
중국,관광,2007,2,1,봄,5656
중국,상용,2007,2,1,봄,4245
중국,공용,2007,2,1,봄,2823
중국,기타,2007,2,1,봄,2745
일본,관광,2007,2,1,봄,3820
일본,상용,2007,2,1,봄,2861
일본,공용,2007,2,1,봄,1849
일본,기타,2007,2,1,봄,1821
미국,관광,2007,2,1,봄,2863
미국,상용,2007,2,1,봄,2119
미국,공용,2007,2,1,봄,1417
미국,기타,2007,2,1,봄,1417
베트남,관광,2007,2,1,봄,1908
베트남,상용,2007,2,1,봄,1432
베트남,공용,2007,2,1,봄,1018
베트남,기타,2007,2,1,봄,947
태국,관광,2007,2,1,봄,1805
태국,상용,2007,2,1,봄,1423
태국,공용,2007,2,1,봄,917
태국,기타,2007,2,1,봄,877
중국,관광,2007,3,1,봄,6893
중국,상용,2007,3,1,봄,5252
중국,공용,2007,3,1,봄,3511
중국,기타,2007,3,1,봄,3463
일본,관광,2007,3,1,봄,4657
일본,상용,2007,3,1,봄,3453
일본,공용,2007,3,1,봄,2256
일본,기타,2007,3,1,봄,2337
미국,관광,2007,3,1,봄,3365
미국,상용,2007,3,1,봄,2622
미국,공용,2007,3,1,봄,1828
미국,기타,2007,3,1,봄,1724
베트남,관광,2007,3,1,봄,2299
베트남,상용,2007,3,1,봄,1720
베트남,공용,2007,3,1,봄,1205
베트남,기타,2007,3,1,봄,1124
태국,관광,2007,3,1,봄,2331
태국,상용,2007,3,1,봄,1785
태국,공용,2007,3,1,봄,1257
태국,기타,2007,3,1,봄,1199
중국,관광,2007,4,2,여름,7331
중국,상용,2007,4,2,여름,5504
중국,공용,2007,4,2,여름,3552
중국,기타,2007,4,2,여름,3734
일본,관광,2007,4,2,여름,4905
일본,상용,2007,4,2,여름,3547
일본,공용,2007,4,2,여름,2447
일본,기타,2007,4,2,여름,2373
미국,관광,2007,4,2,여름,3512
미국,상용,2007,4,2,여름,2686
미국,공용,2007,4,2,여름,1791
미국,기타,2007,4,2,여름,1802
베트남,관광,2007,4,2,여름,2434
베트남,상용,2007,4,2,여름,1840
베트남,공용,2007,4,2,여름,1240
베트남,기타,2007,4,2,여름,1208
태국,관광,2007,4,2,여름,2360
태국,상용,2007,4,2,여름,1829
태국,공용,2007,4,2,여름,1216
태국,기타,2007,4,2,여름,1192
중국,관광,2007,5,2,여름,6467
중국,상용,2007,5,2,여름,4743
중국,공용,2007,5,2,여름,3283
중국,기타,2007,5,2,여름,3311
일본,관광,2007,5,2,여름,4463
일본,상용,2007,5,2,여름,3237
일본,공용,2007,5,2,여름,2218
일본,기타,2007,5,2,여름,2096
미국,관광,2007,5,2,여름,3336
미국,상용,2007,5,2,여름,2507
미국,공용,2007,5,2,여름,1631
미국,기타,2007,5,2,여름,1580
베트남,관광,2007,5,2,여름,2206
베트남,상용,2007,5,2,여름,1644
베트남,공용,2007,5,2,여름,1102
베트남,기타,2007,5,2,여름,1043
태국,관광,2007,5,2,여름,2164
태국,상용,2007,5,2,여름,1703
태국,공용,2007,5,2,여름,1066
태국,기타,2007,5,2,여름,1115
중국,관광,2007,6,2,여름,6282
중국,상용,2007,6,2,여름,4637
중국,공용,2007,6,2,여름,3033
중국,기타,2007,6,2,여름,3094
일본,관광,2007,6,2,여름,4263
일본,상용,2007,6,2,여름,3176
일본,공용,2007,6,2,여름,2069
일본,기타,2007,6,2,여름,2148
미국,관광,2007,6,2,여름,3125
미국,상용,2007,6,2,여름,2349
미국,공용,2007,6,2,여름,1628
미국,기타,2007,6,2,여름,1541
베트남,관광,2007,6,2,여름,2165
베트남,상용,2007,6,2,여름,1581
베트남,공용,2007,6,2,여름,1068
베트남,기타,2007,6,2,여름,1066
태국,관광,2007,6,2,여름,2042
태국,상용,2007,6,2,여름,1615
태국,공용,2007,6,2,여름,1020
태국,기타,2007,6,2,여름,1040
중국,관광,2007,7,3,가을,6567
중국,상용,2007,7,3,가을,4872
중국,공용,2007,7,3,가을,3326
중국,기타,2007,7,3,가을,3349
일본,관광,2007,7,3,가을,4346
일본,상용,2007,7,3,가을,3238
일본,공용,2007,7,3,가을,2178
일본,기타,2007,7,3,가을,2191
미국,관광,2007,7,3,가을,3319
미국,상용,2007,7,3,가을,2420
미국,공용,2007,7,3,가을,1669
미국,기타,2007,7,3,가을,1697
베트남,관광,2007,7,3,가을,2211
베트남,상용,2007,7,3,가을,1612
베트남,공용,2007,7,3,가을,1077
베트남,기타,2007,7,3,가을,1103
태국,관광,2007,7,3,가을,2077
태국,상용,2007,7,3,가을,1644
태국,공용,2007,7,3,가을,1082
태국,기타,2007,7,3,가을,1016
중국,관광,2007,8,3,가을,7625
중국,상용,2007,8,3,가을,5683
중국,공용,2007,8,3,가을,3793
중국,기타,2007,8,3,가을,3719
일본,관광,2007,8,3,가을,5020
일본,상용,2007,8,3,가을,3737
일본,공용,2007,8,3,가을,2688
일본,기타,2007,8,3,가을,2555
미국,관광,2007,8,3,가을,3874
미국,상용,2007,8,3,가을,2877
미국,공용,2007,8,3,가을,1990
미국,기타,2007,8,3,가을,1897
베트남,관광,2007,8,3,가을,2595
베트남,상용,2007,8,3,가을,1922
베트남,공용,2007,8,3,가을,1233
베트남,기타,2007,8,3,가을,1254
태국,관광,2007,8,3,가을,2456
태국,상용,2007,8,3,가을,1954
태국,공용,2007,8,3,가을,1272
태국,기타,2007,8,3,가을,1313
중국,관광,2007,9,3,가을,6888
중국,상용,2007,9,3,가을,5268
중국,공용,2007,9,3,가을,3520
중국,기타,2007,9,3,가을,3525
일본,관광,2007,9,3,가을,4628
일본,상용,2007,9,3,가을,3435
일본,공용,2007,9,3,가을,2296
일본,기타,2007,9,3,가을,2295
미국,관광,2007,9,3,가을,3418
미국,상용,2007,9,3,가을,2556
미국,공용,2007,9,3,가을,1745
미국,기타,2007,9,3,가을,1747
베트남,관광,2007,9,3,가을,2293
베트남,상용,2007,9,3,가을,1735
베트남,공용,2007,9,3,가을,1143
베트남,기타,2007,9,3,가을,1163
태국,관광,2007,9,3,가을,2325
태국,상용,2007,9,3,가을,1774
태국,공용,2007,9,3,가을,1238
태국,기타,2007,9,3,가을,1122
중국,관광,2007,10,4,겨울,7958
중국,상용,2007,10,4,겨울,5880
중국,공용,2007,10,4,겨울,3933
중국,기타,2007,10,4,겨울,3957
일본,관광,2007,10,4,겨울,5233
일본,상용,2007,10,4,겨울,4021
일본,공용,2007,10,4,겨울,2611
일본,기타,2007,10,4,겨울,2673
미국,관광,2007,10,4,겨울,3944
미국,상용,2007,10,4,겨울,2914
미국,공용,2007,10,4,겨울,1934
미국,기타,2007,10,4,겨울,2008
베트남,관광,2007,10,4,겨울,2650
베트남,상용,2007,10,4,겨울,2023
베트남,공용,2007,10,4,겨울,1404
베트남,기타,2007,10,4,겨울,1357
태국,관광,2007,10,4,겨울,2597
태국,상용,2007,10,4,겨울,1994
태국,공용,2007,10,4,겨울,1361
태국,기타,2007,10,4,겨울,1304
중국,관광,2007,11,4,겨울,6671
중국,상용,2007,11,4,겨울,5024
중국,공용,2007,11,4,겨울,3328
중국,기타,2007,11,4,겨울,3320
일본,관광,2007,11,4,겨울,4416
일본,상용,2007,11,4,겨울,3341
일본,공용,2007,11,4,겨울,2158
일본,기타,2007,11,4,겨울,2214
미국,관광,2007,11,4,겨울,3252
미국,상용,2007,11,4,겨울,2488
미국,공용,2007,11,4,겨울,1673
미국,기타,2007,11,4,겨울,1642
베트남,관광,2007,11,4,겨울,2139
베트남,상용,2007,11,4,겨울,1677
베트남,공용,2007,11,4,겨울,1077
베트남,기타,2007,11,4,겨울,1045
태국,관광,2007,11,4,겨울,2154
태국,상용,2007,11,4,겨울,1616
태국,공용,2007,11,4,겨울,1038
태국,기타,2007,11,4,겨울,1037
중국,관광,2007,12,4,겨울,6862
중국,상용,2007,12,4,겨울,5296
중국,공용,2007,12,4,겨울,3470
중국,기타,2007,12,4,겨울,3436
일본,관광,2007,12,4,겨울,4631
일본,상용,2007,12,4,겨울,3459
일본,공용,2007,12,4,겨울,2318
일본,기타,2007,12,4,겨울,2259
미국,관광,2007,12,4,겨울,3409
미국,상용,2007,12,4,겨울,2520
미국,공용,2007,12,4,겨울,1765
미국,기타,2007,12,4,겨울,1752
베트남,관광,2007,12,4,겨울,2397
베트남,상용,2007,12,4,겨울,1720
베트남,공용,2007,12,4,겨울,1159
베트남,기타,2007,12,4,겨울,1157
태국,관광,2007,12,4,겨울,2232
태국,상용,2007,12,4,겨울,1678
태국,공용,2007,12,4,겨울,1185
